NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-29;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-30;4.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-07-31;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-01;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-03;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-04;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-05;1.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-06;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-07;2.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-08;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-09;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-10;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-11;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-12;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-13;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-14;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-15;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-16;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-17;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-18;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-19;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-20;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-21;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-22;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-23;2.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-24;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-25;5.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-26;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-27;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-28;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-29;2.4;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-30;1.6;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-08-31;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-01;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-03;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-04;2.2;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-05;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-06;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-07;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-08;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-09;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-10;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-11;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-12;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-13;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-14;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-15;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-16;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-17;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-18;2.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-19;2.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-20;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-21;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-22;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-23;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-24;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-25;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-26;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-27;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-28;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-29;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-09-30;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-01;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-03;2.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-04;2.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-05;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-06;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-07;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-08;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-09;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-10;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-11;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-12;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-13;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-14;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-15;1.4;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-16;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-17;1.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-18;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-19;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-20;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-21;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-22;18.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-23;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-24;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-25;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-26;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-27;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-28;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-29;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-30;22.8;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-10-31;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-01;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-03;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-04;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-05;4.8;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-06;11.2;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-07;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-08;5.4;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-09;15.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-10;9.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-11;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-12;4.8;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-13;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-14;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-15;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-16;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-17;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-18;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-19;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-20;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-21;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-22;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-23;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-24;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-25;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-11-26;0.0;1.0
